,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_lambda,param_gamma,param_eta,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.9043058395385742,0.009549630524094457,0.005311441421508789,0.001072122541275652,0.8,1400,8,4,0.3878787878787878,4.761904761904762,0.02009233002565048,0.6757575757575757,"{'subsample': 0.8, 'n_estimators': 1400, 'min_child_weight': 8, 'max_depth': 4, 'lambda': 0.3878787878787878, 'gamma': 4.761904761904762, 'eta': 0.02009233002565048, 'alpha': 0.6757575757575757}",-0.22779509125556305,-0.22415000501616547,-0.23102202003243982,-0.22092386771354997,-0.22692995230332952,-0.2261641872642096,0.003416508810162911,5
11,1.142863655090332,0.012914354945873164,0.007612943649291992,0.0014984784356641065,1.0,1200,4,3,0.8868686868686868,5.7142857142857135,0.001484968262254465,0.23434343434343433,"{'subsample': 1.0, 'n_estimators': 1200, 'min_child_weight': 4, 'max_depth': 3, 'lambda': 0.8868686868686868, 'gamma': 5.7142857142857135, 'eta': 0.001484968262254465, 'alpha': 0.23434343434343433}",-0.22666277335704935,-0.22656093536867125,-0.23281105845656844,-0.2259844682778556,-0.22763105369015735,-0.2279300578300604,0.002497174224883586,14
12,1.4370432376861573,0.011642715445665544,0.008797979354858399,0.0007363054324841951,0.9,1200,6,4,0.7141414141414141,3.8095238095238093,0.0016297508346206436,0.3111111111111111,"{'subsample': 0.9, 'n_estimators': 1200, 'min_child_weight': 6, 'max_depth': 4, 'lambda': 0.7141414141414141, 'gamma': 3.8095238095238093, 'eta': 0.0016297508346206436, 'alpha': 0.3111111111111111}",-0.22598011739462837,-0.22409980722373976,-0.23114043937594453,-0.22290245751391904,-0.22712347132237132,-0.22624925856612058,0.0028489139328541947,6
13,0.9787016868591308,0.1921141741744242,0.005522012710571289,0.0011993228724310032,0.9,1200,2,6,1.6161616161616161,4.285714285714286,0.08902150854450393,1.4242424242424243,"{'subsample': 0.9, 'n_estimators': 1200, 'min_child_weight': 2, 'max_depth': 6, 'lambda': 1.6161616161616161, 'gamma': 4.285714285714286, 'eta': 0.08902150854450393, 'alpha': 1.4242424242424243}",-0.22567614554030987,-0.229024661555806,-0.23407933103519774,-0.2200911054441179,-0.23099078825910735,-0.2279724063669078,0.004793748369558559,15
14,1.009064292907715,0.015617477778154145,0.007880353927612304,0.0009830074474232594,0.55,600,0,10,1.9424242424242424,4.761904761904762,0.00012045035402587823,1.002020202020202,"{'subsample': 0.55, 'n_estimators': 600, 'min_child_weight': 0, 'max_depth': 10, 'lambda': 1.9424242424242424, 'gamma': 4.761904761904762, 'eta': 0.00012045035402587823, 'alpha': 1.002020202020202}",-0.24707394769128127,-0.24711806462287833,-0.24739607825208662,-0.24731937222364328,-0.2473574858250154,-0.247252989722981,0.00013119545011093552,44
15,2.289477825164795,0.023398982934863193,0.015363788604736328,0.0013416425185275086,0.55,1500,6,10,1.0212121212121212,2.380952380952381,0.006579332246575682,0.7333333333333333,"{'subsample': 0.55, 'n_estimators': 1500, 'min_child_weight': 6, 'max_depth': 10, 'lambda': 1.0212121212121212, 'gamma': 2.380952380952381, 'eta': 0.006579332246575682, 'alpha': 0.7333333333333333}",-0.2361619599185997,-0.22772007090482607,-0.24050882098401738,-0.23021666615679606,-0.23299860718530452,-0.23352122502990874,0.0044865712055099545,25
16,1.3318349361419677,0.01758883713424409,0.009325695037841798,0.0009860996282307448,0.8500000000000001,700,0,6,1.6545454545454545,2.8571428571428568,0.00048626015800653534,1.1171717171717173,"{'subsample': 0.8500000000000001, 'n_estimators': 700, 'min_child_weight': 0, 'max_depth': 6, 'lambda': 1.6545454545454545, 'gamma': 2.8571428571428568, 'eta': 0.00048626015800653534, 'alpha': 1.1171717171717173}",-0.23818419053132156,-0.2379342229962907,-0.2396704873784861,-0.23866826590739487,-0.23938572794402704,-0.23876857895150408,0.0006696318514072044,33
17,1.3955265998840332,0.017219633367115274,0.010313177108764648,0.0014825635520804438,0.55,800,7,10,1.309090909090909,1.4285714285714284,0.0003351602650938841,1.7313131313131314,"{'subsample': 0.55, 'n_estimators': 800, 'min_child_weight': 7, 'max_depth': 10, 'lambda': 1.309090909090909, 'gamma': 1.4285714285714284, 'eta': 0.0003351602650938841, 'alpha': 1.7313131313131314}",-0.24126298901447718,-0.24097340085796534,-0.24212470559949612,-0.24169003244613999,-0.2419266575814785,-0.2415955570999114,0.00042337481630195053,34
18,0.5414058208465576,0.004569617781809901,0.004088354110717773,0.0002263436747748163,0.5,800,1,3,0.906060606060606,2.380952380952381,0.298364724028334,1.6545454545454545,"{'subsample': 0.5, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 3, 'lambda': 0.906060606060606, 'gamma': 2.380952380952381, 'eta': 0.298364724028334, 'alpha': 1.6545454545454545}",-0.2718777691353412,-0.26231405030779187,-0.28607915695021063,-0.27183561182421956,-0.271814121248776,-0.27278414189326783,0.007603188858518919,47
19,0.6646198272705078,0.04318566830915059,0.005541515350341797,0.0008291187603195577,0.55,1000,0,2,0.3303030303030303,2.380952380952381,0.8302175681319752,0.21515151515151515,"{'subsample': 0.55, 'n_estimators': 1000, 'min_child_weight': 0, 'max_depth': 2, 'lambda': 0.3303030303030303, 'gamma': 2.380952380952381, 'eta': 0.8302175681319752, 'alpha': 0.21515151515151515}",-0.38652366936734467,-0.33996582373167283,-0.36786714919795843,-0.35750294612288064,-0.3813994980068848,-0.36665181728534824,0.016791103114358934,49
